,English,Santali
66685842,"After unsuccessful attempts to persuade many producers to finance the project, Ray started shooting in late 1952 with his personal savings and hoped to raise more money once he had some footage shot, but did not succeed on his terms.","ᱟᱹᱰᱤ ᱜᱟᱱ ᱯᱨᱳᱰᱤᱣᱩᱥᱟᱨ ᱠᱚ ᱱᱚᱣᱟ ᱯᱟᱱᱛᱷᱟ ᱨᱮ ᱠᱟᱣᱰᱤ ᱞᱟᱜᱟᱣ ᱞᱟᱜᱤᱛ ᱛᱮ ᱵᱮᱨᱛᱷᱟ ᱨᱤᱠᱟᱹ ᱛᱟᱭᱚᱢ, ᱥᱚᱛᱛᱚᱡᱤᱛ ᱨᱟᱭ ᱑᱙᱕᱒ ᱥᱟᱞ ᱨᱮᱭᱟᱜ ᱢᱩᱪᱟᱹᱫ ᱥᱮᱫ ᱟᱡᱟᱜ ᱱᱤᱡᱮᱨᱟᱜ ᱥᱟᱧᱪᱟᱣᱛᱮ ᱥᱩᱴᱤᱝ ᱮ ᱮᱦᱚᱵ ᱞᱮᱫᱟ ᱟᱨ ᱟᱥᱟ ᱞᱮᱫᱟᱭ ᱡᱤᱛᱫᱷᱟᱣ ᱯᱷᱩᱴᱮᱡ ᱥᱩᱴ ᱦᱩᱭ ᱞᱮᱱᱠᱷᱟᱱ ᱩᱱᱤ ᱟᱨᱦᱚᱸ ᱠᱟᱣᱰᱤᱭ ᱡᱟᱣᱨᱟ ᱫᱟᱲᱮᱭᱟᱜ ᱟ, ᱢᱮᱱᱠᱷᱚᱱ ᱟᱡᱟᱜ ᱥᱚᱨᱛᱚ ᱞᱮᱠᱟᱛᱮ ᱵᱟᱝ ᱮ ᱥᱤᱜᱤᱞ ᱞᱮᱱᱟ ᱾"
66695842,"Ray was reluctant to go, due to his fondness for Calcutta and the low regard for the intellectual life at Santiniketan.",ᱠᱚᱞᱠᱟᱛᱟ ᱪᱮᱛᱟᱱ ᱨᱮ ᱫᱩᱞᱟᱹᱲ ᱟᱨ ᱥᱟᱱᱛᱤᱱᱤᱠᱮᱛᱚᱱ ᱨᱮᱱᱟᱜ ᱵᱩᱨᱫᱷᱤ ᱟᱱᱟᱜ ᱡᱤᱭᱚᱱ ᱪᱮᱛᱟᱱ ᱥᱨᱚᱫᱷᱟ ᱵᱟᱝ ᱛᱟᱸᱦᱮ ᱚᱡᱮ ᱛᱮ ᱥᱚᱛᱛᱚᱡᱤᱛ ᱚᱸᱰᱮ ᱪᱟᱞᱟᱜ ᱞᱟᱹᱜᱤᱫ ᱤᱪᱪᱷᱟᱹ ᱵᱟᱝ ᱛᱟᱸᱦᱮ ᱠᱟᱱ ᱛᱟᱭᱟ ᱾
66705842,"In 1978, he was awarded an honorary degree by Oxford University.",᱑᱙᱗᱘ ᱥᱟᱞᱨᱮ ᱚᱠᱥᱯᱷᱳᱨᱰ ᱡᱮᱜᱮᱫ ᱵᱤᱨᱫᱟᱹᱜᱟᱲ ᱢᱤᱫᱴᱟᱝ ᱢᱟᱹᱱ ᱟᱱᱟᱜ ᱰᱤᱜᱨᱤᱭ ᱪᱟᱞ ᱟᱫᱮ ᱛᱟᱸᱦᱮ ᱾
66715842,"Ray directed 36 films, including feature films, documentaries and shorts and authored several short stories and novels, primarily for young children and teenagers.",ᱥᱚᱛᱚᱡᱤᱛ ᱨᱟᱭ ᱞᱟᱹᱴᱩᱣᱟᱜ ᱪᱚᱞᱚᱠᱪᱤᱛᱟᱹᱨ ᱛᱚᱛᱛᱷᱚᱪᱤᱛᱟᱹᱨ ᱟᱨ ᱠᱟᱹᱴᱤᱪ ᱪᱚᱞᱚᱠᱪᱤᱛᱟᱹᱨ ᱱᱤᱭᱮ ᱓᱖ ᱟᱱ ᱪᱚᱞᱚᱠᱪᱤᱛᱟᱹᱨᱮ ᱪᱟᱪᱟᱞᱟᱣ ᱞᱮᱫᱟᱭ ᱟᱨ ᱯᱳᱭᱞᱚᱨᱮ ᱞᱮᱴᱠᱟ ᱟᱨ ᱦᱟᱨᱟᱜᱚᱫᱚᱜ ᱜᱤᱫᱽᱨᱟᱹ ᱞᱟᱹᱜᱤᱫ ᱟᱭᱢᱟ ᱜᱟᱱ ᱠᱟᱹᱴᱤᱪ ᱠᱤᱥᱟᱹ ᱟᱨ ᱱᱳᱵᱮᱞᱮ ᱚᱞ ᱞᱮᱫᱟ᱾
66725842,The Mughals were also joined by Jean Law and 200 Frenchmen and waged a campaign against the British during the Seven Years' War.,ᱢᱩᱜᱷᱚᱞ ᱠᱚ ᱥᱟᱶᱛᱮ ᱡᱟᱸᱞ ᱟᱨ ᱒᱐᱐ ᱜᱚᱴᱟᱝ ᱯᱷᱚᱨᱟᱥᱤ ᱱᱟᱜᱚᱨᱤᱭᱳ ᱠᱚ ᱥᱮᱞᱮᱫ ᱞᱮᱱᱟ ᱟᱨ ᱮᱭᱟᱭ ᱥᱮᱨᱢᱟ ᱨᱮᱭᱟᱜ ᱞᱟᱹᱲᱦᱟᱹᱭ ᱨᱮ ᱵᱤᱨᱴᱤᱥ ᱠᱚ ᱵᱤᱨᱩᱫ ᱨᱮ ᱥᱟᱸᱜᱷᱟᱨ ᱠᱚ ᱪᱟᱞᱟᱣ ᱞᱮᱫᱟ ᱾
66735842,"The side-on action meant that, for the first few years, this was the only delivery he could bowl.",ᱥᱟᱹᱭᱤᱰᱼᱚᱱ ᱮᱠᱥᱚᱱ ᱨᱮᱱᱟᱜ ᱢᱮᱱᱮᱛ ᱫᱚ ᱛᱟᱦᱮᱸᱠᱟᱱᱟ ᱮᱛᱚᱦᱚᱵᱽ ᱠᱚᱭᱮᱠ ᱥᱮᱨᱢᱟ ᱱᱚᱣᱟᱜᱤ ᱛᱟᱦᱮᱸ ᱠᱟᱱᱟ ᱢᱤᱛ ᱞᱮᱠᱟᱱ ᱰᱮᱞᱤᱵᱷᱟᱹᱨᱤ ᱡᱟᱦᱟ ᱫᱚ ᱩᱱᱤᱭ ᱵᱚᱞ ᱫᱟᱲᱮᱭᱟᱜ ᱛᱟᱦᱮᱱ ᱾
66745842,"At one point, to ward off a possible suitor, he casually mentions that his daughter isn't a virgin; that she's financially independent and sexually independent too.","ᱢᱤᱛ ᱚᱠᱛᱚ ᱨᱮ, ᱢᱤᱫ ᱦᱩᱭᱩᱜ ᱞᱮᱠᱟᱱ ᱫᱷᱟᱥᱟᱣ ᱫᱚ ᱥᱟᱹᱜᱤᱧ ᱨᱮ ᱫᱚᱦᱚ ᱞᱟᱹᱜᱤᱫ ᱟᱡ ᱥᱟᱫᱷᱟᱣ ᱞᱮᱠᱟᱛᱮ ᱞᱟᱹᱭ ᱥᱚᱫᱚᱨ ᱞᱮᱫᱟᱭ ᱡᱮ ᱟᱡ ᱨᱮᱱ ᱦᱚᱯᱚᱱᱮᱨᱟ ᱫᱚ ᱰᱟᱸᱜᱩᱣᱟᱹ ᱫᱚᱭ ᱵᱟᱝ ᱠᱟᱱᱟ; ᱩᱱᱤ ᱠᱟᱹᱣᱰᱤ ᱞᱮᱠᱟᱛᱮ ᱟᱨ ᱡᱩᱣᱟᱹᱱ ᱤᱫᱤ ᱠᱟᱛᱮᱫ ᱦᱚᱸᱭ ᱯᱷᱩᱨᱜᱟᱹᱞ ᱜᱮᱭᱟ ᱾"
66755842,"Shah Jahan and his sons captured the city of Kandahar in 1638 from the Safavids, prompting the retaliation of the Persians led by their ruler Abbas II of Persia, who recaptured it in 1649.",ᱥᱟᱦᱟᱡᱟᱦᱟᱱ ᱟᱨ ᱟᱡ ᱨᱮᱱ ᱦᱚᱯᱚᱱ ᱠᱚ ᱑᱖᱓᱘ ᱥᱟᱞ ᱨᱮ ᱥᱟᱯᱷᱟᱵᱷᱤ ᱠᱚ ᱴᱷᱮᱱ ᱠᱷᱚᱱ ᱠᱟᱱᱫᱟᱦᱟᱨ ᱱᱟᱜᱨᱟᱦᱟ ᱠᱚ ᱫᱚᱠᱷᱚᱞ ᱠᱮᱫᱟ ᱡᱟᱦᱟ ᱠᱷᱟᱹᱛᱤᱨ ᱛᱮ ᱯᱟᱥᱚᱨᱮᱱ ᱥᱟᱥᱚᱠ ᱫᱚᱥᱟᱨ ᱟᱵᱵᱟᱥᱮᱨ ᱦᱚᱛᱮᱛᱮ ᱯᱟᱹᱨᱥᱤ ᱠᱚ ᱫᱚ ᱱᱚᱣᱟ ᱨᱮᱭᱟᱜ ᱵᱚᱫᱞᱟ ᱠᱚ ᱦᱟᱛᱟᱣᱟ ᱟᱨ ᱑᱖᱔᱙ ᱥᱟᱞᱨᱮ ᱟᱵᱵᱟᱥ ᱠᱟᱱᱫᱟᱦᱟᱨ ᱮ ᱫᱚᱠᱷᱚᱞ ᱨᱩᱣᱟᱹᱲ ᱞᱮᱫᱟ ᱾
66765842,"India at the time was a rich center of the arts, crafts and architecture, and some of the best of the architects, artisans, craftsmen, painters and writers of the world resided in Shah Jahan's empire.","ᱩᱱ ᱚᱠᱛᱚ ᱨᱮ ᱵᱷᱟᱨᱚᱛ ᱥᱤᱞᱯᱚ, ᱠᱟᱴ ᱥᱤᱞᱯᱚ ᱟᱨ ᱤᱥᱛᱟᱯᱚᱛᱚ ᱨᱮᱭᱟᱜ ᱢᱤᱫᱴᱟᱝ ᱛᱟᱞᱢᱟ ᱛᱟᱸᱦᱮ ᱠᱟᱱᱟ ᱟᱨ ᱡᱮᱜᱮᱛ ᱨᱮᱭᱟᱜ ᱢᱟᱨᱟᱝ ᱵᱟᱰᱚᱦᱤ,ᱵᱟᱨᱦᱳᱭ, ᱪᱤᱛᱟᱹᱨ ᱜᱚᱨᱦᱚᱱᱤᱭᱟᱹ ᱟᱨ ᱚᱱᱚᱞᱤᱭᱟᱹ ᱥᱟᱦᱚᱡᱟᱱ ᱨᱮᱭᱟᱜ ᱨᱟᱡᱽᱯᱟᱴ ᱨᱮ ᱜᱤᱨᱟᱹᱵᱟᱥᱤ ᱞᱮᱱᱟ ᱠᱚ ᱾"
66775842,She is widely regarded in modern Indian historiography as exemplifying both Akbar's and the Mughals' tolerance of religious differences and their inclusive policies within an expanding multi-ethnic and multi-religious empire.,ᱱᱟᱦᱟᱜ ᱵᱷᱟᱨᱚᱛᱤᱭᱚ ᱱᱟᱜᱟᱢ ᱚᱞ ᱨᱮ ᱩᱱᱤ ᱫᱚ ᱟᱹᱰᱤ ᱛᱮᱫ ᱜᱮ ᱟᱠᱵᱚᱨ ᱟᱨ ᱢᱩᱜᱷᱚᱞ ᱫᱮᱱᱮ ᱵᱟᱱᱟᱨ ᱫᱷᱚᱨᱚᱢᱟᱱᱟᱜ ᱵᱷᱮᱜᱮᱫ ᱨᱮᱱᱟᱜ ᱥᱟᱦᱟᱣᱫᱟᱲᱮ ᱟᱨ ᱟᱭᱢᱟᱼᱡᱟᱹᱛ ᱟᱱᱟᱜ ᱟᱨ ᱟᱭᱢᱟᱼᱫᱷᱚᱨᱚᱢ ᱟᱱᱟᱜ ᱥᱟᱢᱨᱟᱡᱡᱚ ᱯᱟᱥᱱᱟᱣ ᱢᱩᱫᱽᱨᱮ ᱩᱱᱠᱩᱣᱟᱜ ᱥᱮᱞᱮᱫᱟᱱᱟᱜ ᱟᱹᱨᱤ ᱨᱮᱱᱟᱜ ᱫᱟᱹᱭᱠᱟᱹ ᱞᱮᱠᱟᱛᱮ ᱧᱮᱞᱚᱜᱚᱠ ᱟ ᱾
66785842,"During his reign, the Marwari horse was introduced, becoming Shah Jahan's favorite, and various Mughal cannons were mass-produced in the Jaigarh Fort.","ᱩᱱᱤᱭᱟᱜ ᱨᱟᱡᱽᱚᱠᱛᱚᱨᱮ , ᱢᱟᱲᱳᱭᱟᱨᱤ ᱥᱟᱫᱚᱢ ᱠᱚ ᱪᱟᱹᱞᱩ ᱞᱮᱫ ᱠᱚᱣᱟ, ᱡᱟᱦᱟᱸ ᱥᱟᱦᱟᱡᱟᱱ ᱨᱮᱱ ᱠᱩᱥᱤᱭᱟᱱ ᱮ ᱦᱩᱭ ᱮᱱᱟ ᱟᱨ ᱡᱚᱭᱜᱚᱲ ᱜᱟᱲ ᱨᱮ ᱟᱭᱢᱟ ᱞᱮᱠᱟᱱ ᱠᱟᱢᱟᱱ ᱟᱢᱫᱟ ᱠᱚ ᱵᱮᱲᱟᱣ ᱞᱮᱫᱟ ᱾"
66795842,This fear brought Prince Khurram to rebel against his father rather than fight against the Persians.,ᱱᱚᱣᱟ ᱵᱯᱚᱛᱚᱨᱛᱮ ᱡᱩᱵᱚᱨᱟᱡᱽ ᱠᱷᱩᱨ ᱨᱚᱢ ᱯᱟᱨᱥᱤᱠ ᱠᱚ ᱵᱤᱨᱩᱫ ᱨᱮ ᱞᱟᱹᱲᱦᱟᱹᱭ ᱵᱟᱫᱟᱞᱛᱮ ᱟᱡ ᱵᱟᱵᱟᱣᱟᱜ ᱵᱤᱨᱩᱫ ᱨᱮᱭ ᱞᱟᱹᱲᱦᱟᱹᱭ ᱞᱮᱫᱟᱭ ᱾
66805842,"Based on this, historian Vincent Smith also argues for the same thing.",ᱚᱱᱟ ᱞᱮᱠᱟᱛᱮ ᱱᱟᱜᱟᱢᱤᱭᱟᱹ ᱶᱤᱱᱥᱮᱱᱴ ᱥᱢᱤᱛᱷ ᱦᱸᱚ ᱢᱤᱫ ᱡᱩᱠᱛᱤ ᱩᱫᱩᱠ ᱟᱠᱟᱫᱟ ᱾
66815842,The young girl belonged to an illustrious Persian noble family that had been serving Mughal emperors since the reign of Akbar.,"ᱱᱩᱭ ᱠᱩᱲᱤᱜᱤᱫᱽᱨᱟᱹ ᱢᱤᱫ ᱠᱩᱞᱤᱱ ᱯᱷᱟᱹᱨᱥᱤ ᱜᱷᱟᱸᱨᱚᱡᱽ ᱨᱤᱱᱤᱡ ᱮ ᱛᱟᱸᱦᱮ ᱠᱟᱱᱟ, ᱡᱟᱸᱦᱟᱭ ᱫᱚ ᱚᱠᱵᱚᱨᱟᱜ ᱚᱠᱛᱚ ᱠᱷᱚᱱ ᱜᱮ ᱢᱩᱜᱚᱞ ᱵᱟᱫᱥᱟᱦᱟᱭ ᱡᱚᱛᱚᱱ ᱞᱮᱫᱮᱭᱟ᱾"
66825842,She was an active participant in the decisions made by Jahangir.,ᱩᱱᱤ ᱡᱟᱦᱟᱜᱤᱨ ᱫᱟᱨᱟᱭ ᱛᱮ ᱨᱟᱭ ᱦᱟᱛᱟᱣ ᱨᱮᱱᱤᱡ ᱡᱩᱞᱩᱝ ᱵᱷᱟᱹᱜᱤᱫᱟᱨ ᱮ ᱛᱟᱸᱦᱮ ᱠᱟᱱᱟ᱾
66835842,"However, after the death of his grandfather Akbar in 1605, he returned to the care of his mother, Jagat Gosain whom he cared for and loved immensely.","ᱮᱱᱛᱮ, ᱑᱖᱐᱕ ᱠᱷᱨᱤᱥᱴᱟᱵᱽᱫᱚ ᱨᱮ ᱟᱡ ᱜᱚᱲᱚᱢ ᱦᱟᱲᱟᱢ ᱟᱠᱵᱚᱨ ᱟᱜ ᱜᱚᱡ ᱛᱟᱭᱚᱢ ᱩᱱᱤ ᱟᱡ ᱟᱭᱳ ᱡᱚᱜᱚᱛ ᱜᱚᱥᱟᱭᱟᱜ ᱡᱚᱛᱚᱱ ᱴᱷᱮᱱᱮ ᱨᱩᱣᱟᱹᱲ ᱦᱮᱡᱞᱮᱱᱟᱭ, ᱡᱟᱦᱟᱭ ᱫᱚ ᱟᱡ ᱟᱹᱰᱤ ᱡᱚᱛᱚᱱᱮ ᱛᱟᱦᱮᱫ ᱟᱨ ᱫᱩᱞᱟᱹᱲᱟᱭ ᱛᱟᱦᱮᱫ ᱾"
66845842,"When Rajaram refused, she imprisoned him in a dungeon at Satara, on 24 November 1750.",ᱨᱟᱡᱟᱨᱟᱢ ᱚᱱᱟᱭ ᱟᱲᱟᱜ ᱜᱤᱰᱤ ᱞᱮᱫᱨᱮ ᱩᱱᱤ ᱑᱗᱕᱐ ᱠᱷᱨᱤᱥᱴᱟᱵᱽᱫᱚ ᱨᱮᱱᱟᱜ ᱒᱔ ᱱᱚᱵᱷᱮᱢᱵᱚᱨ ᱩᱱᱤᱫᱚ ᱥᱟᱛᱟᱨ ᱨᱮᱱᱟᱜ ᱢᱤᱫᱴᱟᱝ ᱚᱱᱫᱷᱚ ᱠᱩᱯ ᱨᱮᱠᱚ ᱟᱠᱚᱴ ᱞᱮᱫᱮᱭᱟ ᱾
66855842,"His relationship with Mumtaz Mahal has been heavily adapted into Indian art, literature and cinema.","ᱢᱩᱢᱛᱟᱡᱽ ᱢᱚᱦᱚᱞ ᱥᱟᱣᱛᱮ ᱟᱡᱟᱜ ᱥᱟᱹᱜᱟᱹᱭ ᱵᱷᱟᱨᱚᱛ ᱨᱮᱱᱟᱜ ᱠᱟᱹᱨᱤ, ᱥᱟᱶᱦᱮᱫ ᱟᱨ ᱪᱚᱞᱚᱛ ᱪᱤᱛᱟᱹᱨ ᱨᱮ ᱟᱹᱰᱤ ᱵᱟᱹᱲᱛᱤ ᱦᱟᱛᱟᱣ ᱦᱩᱭ ᱟᱠᱟᱱᱟ ᱾"
66865842,She owned ships that carried pilgrims to and from the Islamic holy city Mecca and ran an extensive trade of silk and several spices to international borders.,ᱩᱱᱤ ᱤᱥᱞᱟᱢᱤ ᱱᱤᱨᱚᱲ ᱥᱟᱦᱟᱨ ᱢᱚᱠᱠᱟ ᱨᱮ ᱫᱷᱚᱨᱚᱢ ᱥᱟᱸᱜᱷᱟᱨᱤᱭᱟᱹ ᱜᱮᱢᱮᱨᱟᱱ ᱡᱟᱦᱟᱡᱽ ᱨᱮᱱ ᱢᱟᱹᱞᱤᱠ ᱮ ᱛᱟᱸᱦᱮ ᱠᱟᱱᱟ ᱟᱨ ᱡᱮᱸᱜᱮᱛ ᱥᱤᱢᱟᱹᱨᱮ ᱞᱩᱢᱟᱹᱝ ᱟᱨ ᱠᱤᱪᱷᱩᱜᱟᱱ ᱢᱚᱥᱞᱟ ᱵᱟᱱᱤᱡᱽ ᱮ ᱪᱟᱞᱟᱣᱮᱫ ᱛᱟᱸᱦᱮᱫ ᱾
66875842,"Muni Lal claims, ""The taming of the temperamental Salim bristled with complications, especially when Mariam Zamani and Sultan Salima Begum took into their scheming heads to leave no design unused to win freedom for their Baba.""","ᱱᱩᱱᱤ ᱞᱟᱞ ᱫᱟᱵᱤ ᱞᱮᱫᱟᱭ , ᱢᱮᱡᱟᱡᱽ ᱟᱱ ᱥᱮᱞᱤᱢ ᱫᱚᱢᱟᱣ ᱫᱚᱦᱚ ᱫᱚ ᱟᱰᱤ ᱟᱸᱴ ᱛᱟᱦᱮᱠᱟᱱᱟ , ᱟᱥᱚᱠᱟᱭᱛᱮ ᱡᱚᱠᱷᱮᱡ ᱢᱚᱨᱤᱭᱟᱢ ᱡᱟᱢᱟᱱᱤ ᱟᱨ ᱥᱩᱞᱛᱟᱱ ᱵᱮᱜᱚᱢ ᱟᱡ ᱵᱟᱵᱟ ᱯᱷᱩᱨᱜᱟᱹᱞ ᱞᱟᱜᱤᱫ ᱛᱮ ᱚᱱᱠᱟᱱ ᱡᱟᱸᱦᱟᱱ ᱩᱯᱟᱹᱭ ᱵᱟᱝ ᱮᱛᱚᱢ ᱠᱟᱛᱮ ᱟᱭᱢᱟ ᱞᱮᱠᱟᱱ ᱪᱟᱹᱞ ᱠᱤᱱ ᱪᱟᱞᱟᱣ ᱮᱫ ᱠᱟᱱ ᱛᱟᱦᱮᱫ ᱾"
66885842,She also in later life commissioned a palace for herself in Lahore.,ᱛᱟᱭᱚᱢ ᱡᱤᱭᱚᱱ ᱨᱮ ᱩᱱᱤ ᱫᱚ ᱞᱟᱦᱳᱨ ᱨᱮ ᱟᱪ ᱞᱟᱹᱜᱤᱛ ᱢᱤᱴᱴᱮᱱ ᱯᱨᱟᱥᱟᱫᱼᱮ ᱵᱮᱱᱟᱣ ᱞᱮᱫᱟ ᱾
66895842,"When Akbar moved his court to Fatehpur Sikri in 1571, she resided in one of the most magnificent and beautiful palaces of Fatehpur Sikri which was built in the zenana complex.","᱑᱕᱗᱑ ᱠᱷᱨᱤᱥᱴᱟᱵᱫ ᱨᱮ ᱟᱠᱵᱚᱨ ᱛᱤᱱᱨᱮ ᱯᱷᱚᱛᱮ ᱯᱩᱨ ᱥᱤᱠᱨᱤ ᱨᱮ ᱩᱱᱤᱭᱟᱜ ᱨᱟᱡᱥᱚᱶᱟᱭ ᱚᱪᱚᱜ ᱠᱮᱫᱟ, ᱩᱱᱚᱠᱛᱮ ᱩᱱᱤ ᱫᱚ ᱡᱮᱱᱟᱱᱟ ᱠᱚᱢᱯᱞᱮᱠᱥ ᱨᱮ ᱵᱮᱱᱟᱣ ᱯᱷᱚᱛᱮ ᱯᱩᱨ ᱥᱤᱠᱨᱤ ᱨᱮᱭᱟᱜ ᱡᱚᱛᱚ ᱠᱷᱚᱱ ᱢᱚᱡ ᱟᱨ ᱟᱹᱫᱤ ᱢᱟᱨᱟᱝ ᱯᱨᱟᱥᱟᱫ ᱨᱮᱭ ᱜᱤᱨᱟᱹᱵᱟᱥᱤᱺ ᱠᱟᱠᱱ ᱛᱟᱦᱮᱠᱟᱱᱟ ᱾"
66905842,"Her family was held in high esteem by Akbar for their unmatchable courage, devotion, and loyalty all of which greatly endeared to the Emperor.","ᱟᱠᱵᱚᱨ ᱟᱪᱨᱮᱱ ᱚᱲᱟᱜᱦᱚᱲ ᱠᱚ ᱟᱹᱰᱤᱭ ᱢᱟᱱᱚᱛ ᱠᱚ ᱛᱟᱦᱮᱸᱫ ᱩᱱᱠᱩᱭᱟᱜ ᱵᱮᱛᱩᱞᱟᱹᱱᱟᱢᱟ ᱥᱟᱦᱚᱥ, ᱢᱟᱹᱱ ᱟᱨ ᱯᱟᱸᱡᱟ ᱞᱟᱹᱜᱤᱫ, ᱡᱟᱦᱟᱸᱠᱚ ᱥᱚᱢᱨᱟᱡ ᱴᱷᱮᱱ ᱟᱹᱰᱤ ᱫᱩᱞᱟᱹᱲᱟᱹᱱᱤᱡ ᱮ ᱛᱟᱦᱮᱸᱠᱟᱱᱟ ᱾"
66915842,Two poetic anthologies from the Tamil Sangam literature corpus Akananuru and Purananuru allude to the Nanda rule and Maurya empire.,ᱛᱟᱢᱤᱞ ᱥᱚᱝᱜᱚᱢ ᱥᱟᱣᱦᱮᱫ ᱵᱤᱱᱰᱟᱹ ᱨᱮᱭᱟᱜ ᱵᱟᱨᱮᱭᱟ ᱢᱟᱨᱟᱝ ᱚᱱᱚᱲᱦᱮ ᱡᱟᱨᱣᱟᱼ ᱟᱠᱟᱱᱟᱱᱩᱨᱩ ᱟᱨ ᱯᱩᱨᱟᱱᱟᱱᱩᱨᱩ ᱱᱚᱱᱫᱚ ᱟᱨ ᱢᱳᱨᱡᱚ ᱨᱟᱡ ᱟᱹᱨᱤ ᱨᱮᱭᱟᱜᱼᱮ ᱢᱮᱱᱮᱫᱠᱟᱱᱟ ᱾
66925842,The Buddhist Mahavamsa Tika and Jain Parishishtaparvan records Chandragupta's army unsuccessfully attacking the Nanda capital.,ᱵᱳᱫᱷ ᱢᱚᱦᱟᱵᱚᱸᱥᱚ ᱵᱷᱟᱥ ᱟᱨ ᱡᱟᱤᱱ ᱯᱚᱨᱤᱥᱤᱥᱴ ᱨᱮ ᱚᱞ ᱢᱮᱱᱟᱜ ᱟᱞᱟᱹᱜ ᱠᱟᱱᱟ ᱡᱮ ᱪᱚᱱᱫᱚᱨᱚᱜᱩᱯᱛᱚ ᱤᱡ ᱯᱷᱟᱹᱫᱽ ᱱᱚᱱᱫᱚ ᱨᱮᱭᱟᱜ ᱨᱟᱡᱜᱟᱲ ᱨᱮ ᱦᱟᱢᱦᱟ ᱞᱟᱹᱜᱤᱫ ᱵᱟᱝ ᱮ ᱫᱟᱲᱮ ᱞᱮᱱᱟ᱾
66935842,"They met Nanda there according to Hindu sources, and Dhana Nanda according to Pali-language Buddhist sources.",ᱦᱤᱱᱫᱩ ᱫᱷᱟᱨᱟ ᱞᱮᱠᱟᱛᱮ ᱩᱱᱠᱩ ᱚᱸᱰᱮ ᱱᱚᱱᱫᱚ ᱥᱟᱶ ᱟᱨ ᱯᱟᱞᱤ ᱯᱟᱹᱨᱥᱤ ᱵᱚᱭᱫᱷᱚ ᱫᱷᱟᱨᱟ ᱞᱮᱠᱟᱛᱮ ᱫᱷᱚᱱᱚ ᱫᱚᱱᱫᱚ ᱥᱟᱶ ᱮ ᱧᱟᱯᱟᱢ ᱞᱮᱱᱟ ᱾
66945842,"According to the Sinhalese Buddhist tradition, Chandragupta's mother was pregnant when his father - who was the chief of the Moriya clan - was killed in a battle.","ᱥᱤᱝᱦᱚᱞᱤ ᱵᱚᱫᱷᱚ ᱥᱮᱨᱣᱟ ᱞᱮᱠᱟᱛᱮ, ᱪᱚᱱᱫᱨᱚᱜᱩᱯᱛᱚ ᱟᱡ ᱟᱭᱳ ᱩᱱ ᱦᱟᱢᱟᱞ ᱦᱚᱲᱢᱚᱭ ᱛᱟᱦᱮ ᱠᱟᱱᱟ ᱡᱚᱠᱷᱚᱱ ᱟᱡ ᱵᱟᱵᱟᱼᱡᱟᱦᱟᱭ ᱢᱳᱨᱤᱭᱟ ᱜᱩᱴ ᱨᱮᱱ ᱢᱩᱲᱩᱛ ᱮ ᱛᱟᱦᱮ ᱠᱟᱱᱟᱼᱩᱱᱤ ᱫᱚ ᱢᱤᱫᱴᱟᱝ ᱞᱟᱹᱲᱦᱟᱹᱭ ᱨᱮᱭ ᱜᱷᱟᱹᱞ ᱞᱮᱱᱟ ᱾"
66955842,"Similarly, Jain sources composed give different gaps between Mahavira's death and his accession.",ᱢᱤᱫ ᱞᱮᱠᱟᱜᱮ ᱚᱞᱟᱱ ᱡᱚᱭᱱᱱᱚ ᱥᱩᱛᱨᱚ ᱠᱚ ᱢᱚᱦᱟᱵᱤᱨᱟᱜ ᱵᱚᱸᱜᱟ ᱛᱟᱞᱟ ᱟᱨ ᱟᱡᱟᱜ ᱚᱠᱛᱚᱱᱟᱝ ᱢᱩᱫ ᱨᱮ ᱮᱴᱟᱜ ᱮᱴᱟᱜ ᱯᱷᱟᱨᱟᱠ ᱧᱮᱞᱚᱜᱼᱟ ᱾
66965842,"In the northeast, the Mughals clashed with the Ahoms of Assam, whose guerilla tactics gave the Mughals a hard time.","ᱩᱫᱛᱚᱨᱼᱯᱩᱨᱵᱚᱨᱮ, ᱢᱩᱜᱷᱚᱞ ᱠᱚ ᱚᱥᱚᱢᱨᱮᱱ ᱚᱦᱚᱢᱠᱚ ᱥᱟᱸᱶᱛᱮ ᱞᱟᱹᱲᱦᱟᱹᱭ ᱞᱮᱫᱟ ᱠᱚ , ᱡᱟᱸᱦᱟ ᱫᱚ ᱜᱮᱨᱤᱞᱟ ᱠᱟᱭᱫᱟᱛᱮ ᱢᱩᱜᱷᱚᱞ ᱠᱚ ᱢᱩᱥᱠᱤᱞ ᱨᱮᱠᱚ ᱫᱚᱦᱚᱞᱮᱫ ᱠᱳᱣᱟ ᱾"
66975842,The marriage was solemnized on 11 January 1586 at the bride's residence.,᱑᱕᱘᱖ ᱠᱷᱤᱥᱴᱟᱵᱽᱫᱚ ᱨᱮᱭᱟᱜ ᱑᱑ ᱡᱟᱱᱩᱭᱟᱹᱨᱤ ᱨᱮ ᱵᱟᱹᱦᱩ ᱚᱲᱟᱜ ᱨᱮ ᱵᱟᱞᱦᱟ ᱫᱚ ᱦᱩᱭᱥᱟᱹᱛ ᱞᱮᱱᱟ ᱾
66985842,I knew that he had not been playing well.,"ᱤᱧᱤᱧ ᱵᱟᱰᱟᱭ ᱛᱟᱸᱦᱮ, ᱩᱱᱤ ᱵᱷᱟᱜᱮ ᱵᱟᱭ ᱠᱷᱮᱞ ᱠᱟᱱᱟ ᱾"
